12L; 2414; 'Nasceto 2'; 'Sesta Godano'; 'Sesta Godano'; 'SP'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.67944; 44.2994; 294; 0; ''; False; 'Ligu-C'; '0101000020E61000004030478FDF5B234011363CBD52264640'; 2147483997L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 109.6; 8.2; 0.2; 49.0; 32.3; 12.2; 5; 5; 5; 5; 5; 5; 5; 2; 5; 5; 3; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2414; 0.819212; 5; '5'; '5'; '3'; 0.751340063824155; 0.615507034890991; 0.0773664702911899; 0.0944400720565721; 0.0360317669908676; 0.0295176673390101
13L; 2450; 'Sanda'; 'Celle Ligure'; 'Celle Ligure'; 'SV'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 8.52861; 44.3617; 173; 0; ''; False; 'Ligu-B'; '0101000020E610000058AD4CF8A50E21404A7B832F4C2E4640'; 2147483889L; 2; 'Pioggia cumulata ogni 5`'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 51.2; 24.6; 0.0; 18.0; 18.5; 7.7; 5; 5; 5; 5; 5; 5; 3; 2; 3; 3; 2; ''; 3; 1; 0.0; 0.23; -0.59; 17.6; 2450; 0.352082; 2; '3'; '2'; '1'; 0.346371813158969; 0.121951285598889; 0.00316370309395581; 0.00898569926154266; 0.00413935381485835; 0.00145739202814105
14L; 2554; 'Diano Castello'; 'Diano Castello'; 'Diano Castello'; 'IM'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 8.0736; 43.9145; 14; 0; ''; False; 'Ligu-A'; '0101000020E6100000A1F831E6AE252040931804560EF54540'; 2147491343L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 103.4; 79.2; 0.0; 48.4; 12.8; 12.2; 5; 5; 5; 5; 5; 5; 2; 2; 2; 3; 2; ''; 3; 1; 0.0; 0.23; -0.59; 17.6; 2554; 0.284319; 2; '3'; '1'; '1'; 0.865173698871681; 0.245985100388094; 0.000312877475974129; 0.00110044617643547; 0.00380346825646528; 0.00108139732184381
15L; 2415; 'Borzone'; 'Borzone'; 'Genova'; 'GE'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.41013; 44.4243; 296; 0; ''; False; 'Ligu-C'; '0101000020E61000008B37328FFCD12240AED85F764F364640'; 2147483999L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 129.4; 13.2; 0.2; 65.2; 29.7; 13.0; 5; 5; 5; 5; 5; 5; 5; 2; 5; 5; 3; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2415; 0.791988; 4; '5'; '5'; '3'; 0.845677753939496; 0.669766242569503; 0.0558048766941555; 0.0704618115725452; 0.0317559443973698; 0.025150312230862
16L; 2456; 'Molinetto'; 'Genova'; 'Genova'; 'GE'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 8.74889; 44.4394; 87; 0; ''; False; 'Ligu-B'; '0101000020E6100000569A94826E7F214063EE5A423E384640'; 2147483901L; 2; 'Pioggia cumulata ogni 5`'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 0.0; 0.0; 0.0; 0.0; 29.8; 12.2; 1; 1; 1; 1; 1; 1; 5; 2; 5; 5; 3; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2456; 0.96164; 5; '1'; '5'; '3'; 0.0; 0.0; 0.0685863833660146; 0.0713223291431705; 0.0297937866016882; 0.028650888078636
17L; 2555; 'Barcheo'; 'Vessalico'; 'Vessalico'; 'IM'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 7.96611; 44.0494; 190; 0; ''; False; 'Ligu-A'; '0101000020E6100000AF5A99F04BDD1F4011363CBD52064640'; 2147491346L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 182.2; 41.6; 0.0; 34.2; 26.2; 21.1; 5; 5; 5; 5; 5; 5; 4; 4; 4; 5; 4; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2555; 0.664814; 4; '5'; '4'; '4'; 0.959331138749499; 0.637777110310138; 0.0290618250353659; 0.0437141961582141; 0.0544550712748218; 0.0362025129765513
18L; 208200; 'Sassello'; 'Sassello'; 'Sassello'; 'SV'; 'LIGURIA'; 'Italy'; None; 'CAE'; 8.48472; 44.4783; 373; 0; ''; False; 'Ligu-D'; '0101000020E61000002A6F47382DF82040A1D634EF383D4640'; 268441662L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; -1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 38.4; 19.6; 0.0; 20.8; 23.8; 12.4; 5; 5; 5; 5; 5; 5; 4; 2; 4; 5; 3; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 208200; 0.698064; 4; '5'; '4'; '3'; 0.186182175256644; 0.129967123817285; 0.0204835924056548; 0.0293434191597313; 0.0175979114454483; 0.0122844731650785
19L; 200041430; 'Montedomenico'; 'Sestri Levante'; 'Sestri Levante'; 'GE'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.42972; 44.2997; 71; 0; ''; False; 'Ligu-C'; '0101000020E6100000CEDF844204DC22403C4ED1915C264640'; 2147484043L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 83.8; 7.6; 0.0; 38.8; 25.3; 14.3; 5; 5; 5; 5; 5; 5; 4; 2; 4; 5; 3; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 200041430; 0.736685; 4; '5'; '4'; '3'; 0.582014790132775; 0.428761726323375; 0.0279488113177392; 0.0379386044856208; 0.0252311823436441; 0.0185874405294284
20L; 2560; 'Corniolo'; 'Corniolo'; 'Riomaggiore'; 'SP'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 9.73483; 44.1063; 130; 0; ''; False; 'Ligu-C'; '0101000020E6100000473D44A33B7823404BC8073D9B0D4640'; 2147491361L; 2; 'Pluviometro'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 59.2; 4.4; 0.0; 42.2; 19.7; 21.7; 5; 5; 5; 5; 5; 5; 3; 4; 3; 5; 4; ''; 5; 1; 0.0; 0.23; -0.59; 17.6; 2560; 0.559454; 4; '5'; '3'; '4'; 0.339980386329659; 0.19020333436491; 0.00688291891152128; 0.012302925384711; 0.0408127871141514; 0.0228328706771624
21L; 2442; 'Sella di Savona'; 'Altare'; 'Altare'; 'SV'; 'LIGURIA'; 'Italy'; None; 'ETG Liguria'; 8.34889; 44.3428; 439; 0; ''; False; 'Ligu-D'; '0101000020E61000008ACDC7B5A1B22040CE88D2DEE02B4640'; 2147484898L; 2; 'Pioggia cumulata ogni 5`'; 'Pluviometro'; 'P'; datetime.date(2012; 1; 1); datetime.date(2020; 6; 30); None; None; None; None; None; False; 'mm'; 2; 1; datetime.datetime(2014; 1; 17; 23; 30; 1; tzinfo=psycopg2.tz.FixedOffsetTimezone(offset=60; name=None)); 1; 57.8; 22.2; 0.2; 17.2; 22.2; 11.4; 5; 5; 5; 5; 5; 5; 4; 2; 4; 4; 3; ''; 4; 1; 0.0; 0.23; -0.59; 17.6; 2442; 0.615391; 4; '5'; '4'; '3'; 0.40305120157129; 0.248034232579926; 0.0132870673762512; 0.0215912473679657; 0.0129672662563737; 0.00797994379379199
